feature,true_class,min,median,max,n
width,01_Good,1024,1024.0,1024,50
width,02_Out_of_Focus,512,1024.0,1024,50
width,03_Tracking_Error,512,1024.0,1024,50
width,04_Over_Saturated,512,512.0,1024,50
width,05_No_Star,1024,1024.0,1024,50
width,06_Satellite,512,1024.0,1024,50
height,01_Good,1024,1024.0,1024,50
height,02_Out_of_Focus,512,1024.0,1024,50
height,03_Tracking_Error,512,1024.0,1024,50
height,04_Over_Saturated,512,512.0,1024,50
height,05_No_Star,1024,1024.0,1024,50
height,06_Satellite,512,1024.0,1024,50
mean_intensity,01_Good,36.59218883514404,112.86551856994629,129.6940803527832,50
mean_intensity,02_Out_of_Focus,5.642786979675293,75.10496759414673,123.23794460296631,50
mean_intensity,03_Tracking_Error,21.593318939208984,112.63421249389648,126.02462577819824,50
mean_intensity,04_Over_Saturated,3.546128273010254,13.877592086791992,115.33540630340576,50
mean_intensity,05_No_Star,110.84373664855957,125.21885681152344,131.3429536819458,50
mean_intensity,06_Satellite,16.571093559265137,114.02853679656982,132.2888889312744,50
std_intensity,01_Good,28.6776061170308,56.8660633477098,60.99954319504966,50
std_intensity,02_Out_of_Focus,20.391957708997126,42.999522888372375,59.02749640520895,50
std_intensity,03_Tracking_Error,22.315198301528923,56.89373264388508,63.139064867306175,50
std_intensity,04_Over_Saturated,21.05043528284738,23.437877634067124,56.50651808873103,50
std_intensity,05_No_Star,58.80869860954206,59.91111674071469,61.28315279664043,50
std_intensity,06_Satellite,22.901833730442135,56.56760116203764,59.7141850110734,50
background_median,01_Good,31.0,110.0,131.0,50
background_median,02_Out_of_Focus,3.0,71.0,123.0,50
background_median,03_Tracking_Error,17.0,111.0,127.0,50
background_median,04_Over_Saturated,1.0,7.0,115.0,50
background_median,05_No_Star,105.0,125.0,132.0,50
background_median,06_Satellite,9.0,112.0,133.0,50
background_mad,01_Good,17.7912,56.3388,65.2344,50
background_mad,02_Out_of_Focus,1.4826,36.323699999999995,62.2692,50
background_mad,03_Tracking_Error,8.8956,56.3388,66.717,50
background_mad,04_Over_Saturated,1.4826,5.9304,56.3388,50
background_mad,05_No_Star,57.8214,62.2692,69.6822,50
background_mad,06_Satellite,5.9304,56.3388,63.751799999999996,50
sharpness,01_Good,4520.957003521173,50840.19299596723,71546.24025432761,50
sharpness,02_Out_of_Focus,50.81089386586973,22164.94651698568,63756.94073494189,50
sharpness,03_Tracking_Error,1083.2737183345016,52667.19552704664,70241.86734356498,50
sharpness,04_Over_Saturated,41.67257490841439,538.7222792014873,53958.95340286358,50
sharpness,05_No_Star,37366.06401822009,69302.88746777427,75195.36848251251,50
sharpness,06_Satellite,652.0761847704271,51476.65698754031,70017.13825734082,50
saturated_ratio,01_Good,0.0,0.02121114730834961,0.02590465545654297,50
saturated_ratio,02_Out_of_Focus,0.0,0.005054950714111328,0.023695945739746094,50
saturated_ratio,03_Tracking_Error,0.0,0.020895957946777344,0.024580001831054688,50
saturated_ratio,04_Over_Saturated,0.0,0.0,0.021905899047851562,50
saturated_ratio,05_No_Star,0.020389556884765625,0.02373504638671875,0.02796649932861328,50
saturated_ratio,06_Satellite,0.0,0.021606922149658203,0.024593353271484375,50
bright_area_ratio,01_Good,1.430511474609375e-05,0.002200603485107422,0.032418251037597656,50
bright_area_ratio,02_Out_of_Focus,0.0,0.007927417755126953,0.047771453857421875,50
bright_area_ratio,03_Tracking_Error,0.0,0.0034461021423339844,0.023698806762695312,50
bright_area_ratio,04_Over_Saturated,0.0011835098266601562,0.02411651611328125,0.03441619873046875,50
bright_area_ratio,05_No_Star,0.0,0.0,2.47955322265625e-05,50
bright_area_ratio,06_Satellite,0.00015926361083984375,0.003231048583984375,0.031165122985839844,50
star_count,01_Good,1,64.0,788,50
star_count,02_Out_of_Focus,0,50.5,450,50
star_count,03_Tracking_Error,0,69.5,560,50
star_count,04_Over_Saturated,16,249.0,819,50
star_count,05_No_Star,0,0.0,2,50
star_count,06_Satellite,5,63.0,822,50
mean_star_area,01_Good,8.0,32.18374316939891,61.293103448275865,50
mean_star_area,02_Out_of_Focus,0.0,33.98214285714286,304.4,50
mean_star_area,03_Tracking_Error,0.0,28.158473625140292,151.9375,50
mean_star_area,04_Over_Saturated,11.132621951219512,19.883071295993012,136.5,50
mean_star_area,05_No_Star,0.0,0.0,14.5,50
mean_star_area,06_Satellite,17.61527377521614,35.46910071942446,373.65625,50
mean_circularity,01_Good,0.6981317007977318,0.7877644409850854,0.8291420057483849,50
mean_circularity,02_Out_of_Focus,0.0,0.6853566324614627,0.8386373492977413,50
mean_circularity,03_Tracking_Error,0.0,0.7356955070124653,0.8031141418478369,50
mean_circularity,04_Over_Saturated,0.6709022769469362,0.7995248380371158,0.8527548415371061,50
mean_circularity,05_No_Star,0.0,0.0,0.8982491906543908,50
mean_circularity,06_Satellite,0.5387408959826636,0.7646644295105212,0.8206685735066227,50
elongated_star_count,01_Good,0,3.5,41,50
elongated_star_count,02_Out_of_Focus,0,9.5,76,50
elongated_star_count,03_Tracking_Error,0,8.5,253,50
elongated_star_count,04_Over_Saturated,1,12.0,61,50
elongated_star_count,05_No_Star,0,0.0,0,50
elongated_star_count,06_Satellite,0,5.0,44,50
elongated_star_ratio,01_Good,0.0,0.05839291794347974,1.0,50
elongated_star_ratio,02_Out_of_Focus,0.0,0.12627713920817368,1.0,50
elongated_star_ratio,03_Tracking_Error,0.0,0.08442982456140351,0.5802752293577982,50
elongated_star_ratio,04_Over_Saturated,0.015503875968992248,0.04803255575493463,0.6288659793814433,50
elongated_star_ratio,05_No_Star,0.0,0.0,0.0,50
elongated_star_ratio,06_Satellite,0.0,0.08535696940262263,0.3684210526315789,50
elongated_angle_consistency,01_Good,0.0,0.1478481410631624,1.0,50
elongated_angle_consistency,02_Out_of_Focus,0.0,0.30439426761293464,0.9805806781518089,50
elongated_angle_consistency,03_Tracking_Error,0.0,0.3002684513119298,0.9992467753961706,50
elongated_angle_consistency,04_Over_Saturated,0.0,0.23414949249022504,1.0,50
elongated_angle_consistency,05_No_Star,0.0,0.0,0.0,50
elongated_angle_consistency,06_Satellite,0.0,0.5150755352837584,1.0,50
elongated_angle_std,01_Good,0.0,56.10308939536763,180.0,50
elongated_angle_std,02_Out_of_Focus,5.67349076218429,44.21804837302203,180.0,50
elongated_angle_std,03_Tracking_Error,1.1121200982787856,44.44653140304571,180.0,50
elongated_angle_std,04_Over_Saturated,0.0,48.81638143688971,180.0,50
elongated_angle_std,05_No_Star,180.0,180.0,180.0,50
elongated_angle_std,06_Satellite,0.0,33.00384431030804,180.0,50
elongated_radial_alignment,01_Good,0.0,0.40391586088226694,0.7153433463748795,50
elongated_radial_alignment,02_Out_of_Focus,0.0,0.42105465849218293,0.7675835173409024,50
elongated_radial_alignment,03_Tracking_Error,0.0,0.4129566348799141,0.7382915464027541,50
elongated_radial_alignment,04_Over_Saturated,0.2349881572975141,0.4504949783823598,0.6558388073016308,50
elongated_radial_alignment,05_No_Star,0.0,0.0,0.0,50
elongated_radial_alignment,06_Satellite,0.0,0.46776196747210796,0.7919429305156207,50
median_eccentricity_hq,01_Good,0.27117165145140565,0.36332812519502067,0.5347334677606899,50
median_eccentricity_hq,02_Out_of_Focus,0.0,0.4614342555612176,0.821231546549151,50
median_eccentricity_hq,03_Tracking_Error,0.0,0.405208281449562,0.8335502407041915,50
median_eccentricity_hq,04_Over_Saturated,0.2906487901056678,0.6835152094100798,0.7381515269656344,50
median_eccentricity_hq,05_No_Star,0.0,0.0,0.49633055693229816,50
median_eccentricity_hq,06_Satellite,0.29854571717361217,0.3872156222025706,0.7934697652075724,50
median_fwhm_ratio_hq,01_Good,1.0389275720775777,1.075453323739655,1.1834028509010932,50
median_fwhm_ratio_hq,02_Out_of_Focus,0.0,1.127174843661754,1.7525562917459065,50
median_fwhm_ratio_hq,03_Tracking_Error,0.0,1.0939211474924975,1.8102022127024129,50
median_fwhm_ratio_hq,04_Over_Saturated,1.045117942609481,1.370021244268477,1.4822831099784042,50
median_fwhm_ratio_hq,05_No_Star,0.0,0.0,1.1518964126743672,50
median_fwhm_ratio_hq,06_Satellite,1.0477838309960854,1.0846966236030617,1.6432035114876358,50
eccentricity_hq_count,01_Good,0,0.0,364,50
eccentricity_hq_count,02_Out_of_Focus,0,0.0,173,50
eccentricity_hq_count,03_Tracking_Error,0,0.0,132,50
eccentricity_hq_count,04_Over_Saturated,0,146.5,527,50
eccentricity_hq_count,05_No_Star,0,0.0,0,50
eccentricity_hq_count,06_Satellite,0,0.0,487,50
mean_aspect_ratio,01_Good,1.025,1.1515541035084587,1.6666666666666667,50
mean_aspect_ratio,02_Out_of_Focus,0.0,1.2010206425031142,4.0,50
mean_aspect_ratio,03_Tracking_Error,0.0,1.1678953886195917,1.6428266178266182,50
mean_aspect_ratio,04_Over_Saturated,1.0864135694928378,1.1367329653270086,1.748789068892162,50
mean_aspect_ratio,05_No_Star,0.0,0.0,1.3333333333333333,50
mean_aspect_ratio,06_Satellite,1.0507936507936508,1.1692522240232712,1.715019080976528,50
max_aspect_ratio,01_Good,1.1,2.1714285714285717,4.666666666666667,50
max_aspect_ratio,02_Out_of_Focus,0.0,2.325757575757576,5.0,50
max_aspect_ratio,03_Tracking_Error,0.0,2.0,6.5,50
max_aspect_ratio,04_Over_Saturated,1.5,2.8055555555555554,47.333333333333336,50
max_aspect_ratio,05_No_Star,0.0,0.0,1.3333333333333333,50
max_aspect_ratio,06_Satellite,1.1428571428571428,2.2945205479452055,20.11111111111111,50
mean_hollowness,01_Good,3.92156862538684e-09,0.004880065017786364,0.05604245981173756,50
mean_hollowness,02_Out_of_Focus,0.0,0.022156347741484637,0.44699628566727,50
mean_hollowness,03_Tracking_Error,0.0,0.0025204452866150794,0.1628992937095734,50
mean_hollowness,04_Over_Saturated,3.92156862538684e-09,0.005439637439832876,0.1860747237921805,50
mean_hollowness,05_No_Star,0.0,0.0,3.92156862538684e-09,50
mean_hollowness,06_Satellite,3.92156862538684e-09,0.002057491435559051,0.07043985070435067,50
valid_profile_count,01_Good,1,64.0,788,50
valid_profile_count,02_Out_of_Focus,0,50.5,450,50
valid_profile_count,03_Tracking_Error,0,69.5,560,50
valid_profile_count,04_Over_Saturated,16,249.0,819,50
valid_profile_count,05_No_Star,0,0.0,2,50
valid_profile_count,06_Satellite,5,63.0,822,50
mean_fwhm,01_Good,12.267666071933633,20.638451329439437,26.365451584035668,50
mean_fwhm,02_Out_of_Focus,0.0,19.122214288838595,32.052731109708176,50
mean_fwhm,03_Tracking_Error,0.0,20.0606963083959,31.99599351980219,50
mean_fwhm,04_Over_Saturated,9.180154281742926,12.014071459274518,27.62154692613321,50
mean_fwhm,05_No_Star,0.0,0.0,15.555983187030062,50
mean_fwhm,06_Satellite,12.920043152008,21.200910861255103,43.62471439793461,50
median_fwhm,01_Good,12.251657000662487,18.531674543614145,25.366975686825903,50
median_fwhm,02_Out_of_Focus,0.0,17.56661418254453,33.50375367601456,50
median_fwhm,03_Tracking_Error,0.0,18.1167617605415,33.45250172050474,50
median_fwhm,04_Over_Saturated,7.363554093554938,9.885951552559172,27.29595278115004,50
median_fwhm,05_No_Star,0.0,0.0,15.555983187030062,50
median_fwhm,06_Satellite,10.015157393954158,18.524092903383814,28.66716242538805,50
mean_hfr,01_Good,6.367039698691947,10.9884632588543,14.218188253129952,50
mean_hfr,02_Out_of_Focus,0.0,9.403820497807208,14.972645274834768,50
mean_hfr,03_Tracking_Error,0.0,10.701022830552976,17.979065837270877,50
mean_hfr,04_Over_Saturated,3.2862747601560907,5.385334673053489,14.819032317322634,50
mean_hfr,05_No_Star,0.0,0.0,8.832607888290575,50
mean_hfr,06_Satellite,6.128044224308536,11.611816873427891,24.124919184648697,50
median_hfr,01_Good,6.049485362023873,9.88101005231583,13.78863487901468,50
median_hfr,02_Out_of_Focus,0.0,8.104967459102882,15.864725084215465,50
median_hfr,03_Tracking_Error,0.0,9.536674762729946,13.380026277413027,50
median_hfr,04_Over_Saturated,2.100057142514251,4.523039672601524,13.746634795152868,50
median_hfr,05_No_Star,0.0,0.0,8.832607888290575,50
median_hfr,06_Satellite,4.62556910775725,10.229472864292013,15.647176004112014,50
median_eccentricity,01_Good,0.27117165145140565,0.36816300753722386,0.6128029873567216,50
median_eccentricity,02_Out_of_Focus,0.0,0.4976025470100528,0.821231546549151,50
median_eccentricity,03_Tracking_Error,0.0,0.405208281449562,0.8335502407041915,50
median_eccentricity,04_Over_Saturated,0.302305751078444,0.7311782776582665,0.7661319269615441,50
median_eccentricity,05_No_Star,0.0,0.0,0.49633055693229816,50
median_eccentricity,06_Satellite,0.29854571717361217,0.3986036965921934,0.7934697652075724,50
median_fwhm_ratio,01_Good,1.0389275720775777,1.0776942634162463,1.2654455193670937,50
median_fwhm_ratio,02_Out_of_Focus,0.0,1.1528950241430564,1.7525562917459065,50
median_fwhm_ratio,03_Tracking_Error,0.0,1.0939211474924975,1.8102022127024129,50
median_fwhm_ratio,04_Over_Saturated,1.0490856564856768,1.4658855333590233,1.555977629024282,50
median_fwhm_ratio,05_No_Star,0.0,0.0,1.1518964126743672,50
median_fwhm_ratio,06_Satellite,1.0477838309960854,1.0903666401357088,1.6432035114876358,50
long_line_count,01_Good,1195,1218.5,1351,50
long_line_count,02_Out_of_Focus,0,1230.0,1304,50
long_line_count,03_Tracking_Error,0,1213.5,1298,50
long_line_count,04_Over_Saturated,0,2.0,1315,50
long_line_count,05_No_Star,1192,1210.0,1245,50
long_line_count,06_Satellite,7,1213.5,1321,50
longest_line_ratio,01_Good,0.9726562499999999,0.9970703125,0.9990234375,50
longest_line_ratio,02_Out_of_Focus,0.0,0.99658203125,0.9990234375,50
longest_line_ratio,03_Tracking_Error,0.0,0.9970703125,0.9990234375,50
longest_line_ratio,04_Over_Saturated,0.0,0.21120829631357654,0.9990234375,50
longest_line_ratio,05_No_Star,0.9677734374999999,0.998046875,0.9990234375,50
longest_line_ratio,06_Satellite,0.18031400841886933,0.9970703125,0.9990234375,50
axis_aligned_line_ratio,01_Good,0.006589785831960461,0.011174209247291966,0.02044153720359771,50
axis_aligned_line_ratio,02_Out_of_Focus,0.0,0.014281685778993605,1.0,50
axis_aligned_line_ratio,03_Tracking_Error,0.0,0.011095080416272468,0.3333333333333333,50
axis_aligned_line_ratio,04_Over_Saturated,0.0,0.0,1.0,50
