image_path,true_class,star_count,valid_profile_count,median_fwhm,median_eccentricity,median_fwhm_ratio,elongated_star_ratio,mean_aspect_ratio,elongated_angle_consistency,elongated_radial_alignment,fwhm_relative,fwhm_evidence,eccentricity_evidence,tracking_fwhm_ecc_evidence,oof_fwhm_ecc_evidence
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2606063H5R_1_2.png,02_Out_of_Focus,110,110,26.556932152770425,0.3907625974469663,1.0863860751283583,0.11818181818181818,1.2034489248125613,0.5237674278697262,0.4410458955910161,1.3278466076385214,1.0,0.0,0.0,1.0
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2606065NHT_1_2 (2).png,02_Out_of_Focus,174,174,33.50375367601456,0.5048078782182841,1.1584423917854112,0.13218390804597702,1.2127471063711728,0.3828478240375641,0.38536395583451166,1.675187683800728,1.0,0.27403939109142045,0.27403939109142045,0.7259606089085795
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260606CXCN_1_2.png,02_Out_of_Focus,6,6,10.292051268371084,0.4475590903630031,1.118693716397083,0.0,1.0333333333333334,0.0,0.0,0.5146025634185543,0.0,0.0,0.0,0.0
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260606JD06_1_2.png,02_Out_of_Focus,159,159,32.980108401615084,0.49312219613784597,1.1494780624465186,0.1761006289308176,1.2366399778502366,0.0995529551207658,0.4585355335215672,1.6490054200807542,1.0,0.2156109806892298,0.2156109806892298,0.7843890193107702
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260606L395_1_2.png,02_Out_of_Focus,110,110,24.862529089637228,0.44119315047135965,1.114315175134473,0.09090909090909091,1.1838403155621,0.2806711843763158,0.43649194738475766,1.2431264544818614,0.7156322724093068,0.0,0.0,0.7156322724093068
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260606OYH0_1_1.png,02_Out_of_Focus,3,3,12.329898529942273,0.5152957206402851,1.1668442075105776,0.6666666666666666,1.5555555555555556,6.123233995736766e-17,0.5009170723094085,0.6164949264971137,0.0,0.32647860320142524,0.0,0.0
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260606WEOA_1_2.png,02_Out_of_Focus,14,14,22.266562865045415,0.3557551989741159,1.0700138614311614,0.21428571428571427,1.192349515563801,0.5288605614836615,0.7675835173409024,1.1133281432522708,0.06664071626135361,0.0,0.0,0.06664071626135361
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260606YTIR_1_1.png,02_Out_of_Focus,17,17,12.857287037060965,0.3626076022197386,1.0730282514700147,0.4117647058823529,1.4993251846193023,0.39590796322075067,0.6594529103416542,0.6428643518530482,0.0,0.0,0.0,0.0
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260606Z6Z9_1_1.png,02_Out_of_Focus,128,128,29.679960572506396,0.4455400147655045,1.116992400410147,0.1875,1.2392520076506213,0.07824929093473679,0.46208002097688894,1.4839980286253198,1.0,0.0,0.0,1.0
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260606Z6Z9_1_2 (2).png,02_Out_of_Focus,172,172,32.57996476380149,0.5155015417021652,1.1670128392346037,0.16279069767441862,1.2179258205941446,0.4694704538508965,0.4118906998797196,1.6289982381900745,1.0,0.32750770851082606,0.32750770851082606,0.672492291489174
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260614WALM_15_1.png,02_Out_of_Focus,340,340,15.04908669083511,0.7218029944262019,1.444889518689481,0.09117647058823529,1.1625881389851977,0.10009217696470632,0.46466485065330126,0.7524543345417556,0.0,1.0,0.0,0.0
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260614WALM_3_1.png,02_Out_of_Focus,136,136,21.532637791782708,0.7526562465419153,1.5188054252194938,0.08088235294117647,1.1907362096608656,0.13883990194473333,0.30331558504545775,1.0766318895891354,0.0,1.0,0.0,0.0
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260614WALM_8_1.png,02_Out_of_Focus,201,201,16.718846199080588,0.7698465477206814,1.5668356580009262,0.10945273631840796,1.1928652574203842,0.15963474449457435,0.5142177827563338,0.8359423099540294,0.0,1.0,0.0,0.0
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260619J169_11.png,02_Out_of_Focus,450,450,11.474088324525269,0.7050246308333324,1.4100865961263425,0.05333333333333334,1.1415169953503288,0.5000487972229329,0.41745624915094615,0.5737044162262634,0.0,1.0,0.0,0.0
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260619J169_34.png,02_Out_of_Focus,289,289,13.593658179227987,0.6637909451147201,1.3370446756240504,0.06228373702422145,1.141147189310226,0.32811735084955346,0.42953956294649204,0.6796829089613994,0.0,1.0,0.0,0.0
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260619J169_47.png,02_Out_of_Focus,391,391,12.765913320058152,0.7065780469872949,1.413157673042681,0.0639386189258312,1.1570243907839814,0.5899409049983341,0.42264974461115906,0.6382956660029075,0.0,1.0,0.0,0.0
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260619J169_78.png,02_Out_of_Focus,308,308,12.316353298168874,0.6413058255417203,1.3032961781339416,0.06493506493506493,1.1462320136785378,0.4746356184751865,0.418125896484088,0.6158176649084437,0.0,0.9565291277086015,0.0,0.0
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2606222JG3_1_1.png,02_Out_of_Focus,226,226,30.596989003196644,0.5868599404628962,1.2350473263050492,0.10176991150442478,1.2038561962795145,0.26973073468155156,0.4151187291594321,1.529849450159832,1.0,0.6842997023144811,0.6842997023144811,0.3157002976855189
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2606227JDP_1_2.png,02_Out_of_Focus,396,396,24.853748934148186,0.6281851391800819,1.2852414838821562,0.1919191919191919,1.2497927804920297,0.7501214100461818,0.46292442399844924,1.2426874467074094,0.7134372335370466,0.8909256959004094,0.6356195637702561,0.07781766976679047
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260622AD3U_5.png,02_Out_of_Focus,5,5,11.958465188583641,0.29168715021662645,1.0454632474766705,0.2,1.2666666666666666,0.0,0.2577621168183132,0.5979232594291821,0.0,0.0,0.0,0.0
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260622DI0V_1_2.png,02_Out_of_Focus,142,142,33.19481966646616,0.5020828978822597,1.156311985839594,0.19014084507042253,1.239562094966425,0.5591154029955425,0.3819425181624353,1.6597409833233079,1.0,0.26041448941129836,0.26041448941129836,0.7395855105887017
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260623CZEM_1_2.png,02_Out_of_Focus,33,33,25.549466410710775,0.33709091438096905,1.0621663666878827,0.0,1.1554883668520033,0.0,0.0,1.2774733205355386,0.887366602677693,0.0,0.0,0.887366602677693
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2607027VZF_1062.png,02_Out_of_Focus,63,63,19.094847768534663,0.3648860171843275,1.0740536381190249,0.15873015873015872,1.2099349504111407,0.36865415461087647,0.4465570181093974,0.9547423884267332,0.0,0.0,0.0,0.0
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2607027VZF_1867.png,02_Out_of_Focus,9,9,10.680548144153287,0.4095633822448833,1.0961526890085114,0.3333333333333333,1.3240740740740742,0.3333333333333333,0.6507198970125293,0.5340274072076643,0.0,0.0,0.0,0.0
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2607027VZF_2096.png,02_Out_of_Focus,15,15,11.378006139857632,0.351098480446746,1.0679897919659596,0.06666666666666667,1.09989898989899,0.0,0.503954109229132,0.5689003069928816,0.0,0.0,0.0,0.0
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2607027VZF_2105.png,02_Out_of_Focus,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2607027VZF_2115.png,02_Out_of_Focus,9,9,10.82715002319813,0.3483742452278533,1.0668310694032233,0.1111111111111111,1.3657407407407407,0.0,0.3886329680060401,0.5413575011599064,0.0,0.0,0.0,0.0
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2607027VZF_2116.png,02_Out_of_Focus,1,1,11.071906334741108,0.47375148045581006,1.1355138331206192,0.0,1.0,0.0,0.0,0.5535953167370554,0.0,0.11875740227905024,0.0,0.0
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2607027VZF_2117.png,02_Out_of_Focus,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2607027VZF_2126.png,02_Out_of_Focus,1,1,32.052731109708176,0.821231546549151,1.7525562917459065,1.0,4.0,0.0,0.38880022442842954,1.6026365554854087,1.0,1.0,1.0,0.0
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2607027VZF_2127.png,02_Out_of_Focus,2,2,12.348902238891682,0.2991334557114086,1.0480842267353554,0.0,1.125,0.0,0.0,0.6174451119445841,0.0,0.0,0.0,0.0
