class_a,class_b,feature,fold,auc,strength,direction,n_a,n_b
01_Good,02_Out_of_Focus,axis_aligned_line_ratio,1,0.35,0.30000000000000004,LOW,10,10
01_Good,02_Out_of_Focus,axis_aligned_line_ratio,2,0.31,0.38,LOW,10,10
01_Good,02_Out_of_Focus,axis_aligned_line_ratio,3,0.31,0.38,LOW,10,10
01_Good,02_Out_of_Focus,axis_aligned_line_ratio,4,0.38,0.24,LOW,10,10
01_Good,02_Out_of_Focus,axis_aligned_line_ratio,5,0.35,0.30000000000000004,LOW,10,10
01_Good,02_Out_of_Focus,background_mad,1,0.915,0.8300000000000001,HIGH,10,10
01_Good,02_Out_of_Focus,background_mad,2,0.77,0.54,HIGH,10,10
01_Good,02_Out_of_Focus,background_mad,3,0.835,0.6699999999999999,HIGH,10,10
01_Good,02_Out_of_Focus,background_mad,4,0.635,0.27,HIGH,10,10
01_Good,02_Out_of_Focus,background_mad,5,0.695,0.3899999999999999,HIGH,10,10
01_Good,02_Out_of_Focus,background_median,1,0.885,0.77,HIGH,10,10
01_Good,02_Out_of_Focus,background_median,2,0.79,0.5800000000000001,HIGH,10,10
01_Good,02_Out_of_Focus,background_median,3,0.86,0.72,HIGH,10,10
01_Good,02_Out_of_Focus,background_median,4,0.71,0.41999999999999993,HIGH,10,10
01_Good,02_Out_of_Focus,background_median,5,0.71,0.41999999999999993,HIGH,10,10
01_Good,02_Out_of_Focus,bright_area_ratio,1,0.58,0.15999999999999992,HIGH,10,10
01_Good,02_Out_of_Focus,bright_area_ratio,2,0.39,0.21999999999999997,LOW,10,10
01_Good,02_Out_of_Focus,bright_area_ratio,3,0.5,0.0,NONE,10,10
01_Good,02_Out_of_Focus,bright_area_ratio,4,0.45,0.09999999999999998,LOW,10,10
01_Good,02_Out_of_Focus,bright_area_ratio,5,0.55,0.10000000000000009,HIGH,10,10
01_Good,02_Out_of_Focus,diagonal_line_ratio,1,0.98,0.96,HIGH,10,10
01_Good,02_Out_of_Focus,diagonal_line_ratio,2,0.85,0.7,HIGH,10,10
01_Good,02_Out_of_Focus,diagonal_line_ratio,3,0.82,0.6399999999999999,HIGH,10,10
01_Good,02_Out_of_Focus,diagonal_line_ratio,4,0.69,0.3799999999999999,HIGH,10,10
01_Good,02_Out_of_Focus,diagonal_line_ratio,5,0.83,0.6599999999999999,HIGH,10,10
01_Good,02_Out_of_Focus,elongated_angle_consistency,1,0.45,0.09999999999999998,LOW,10,10
01_Good,02_Out_of_Focus,elongated_angle_consistency,2,0.495,0.010000000000000009,LOW,10,10
01_Good,02_Out_of_Focus,elongated_angle_consistency,3,0.46,0.07999999999999996,LOW,10,10
01_Good,02_Out_of_Focus,elongated_angle_consistency,4,0.35,0.30000000000000004,LOW,10,10
01_Good,02_Out_of_Focus,elongated_angle_consistency,5,0.48,0.040000000000000036,LOW,10,10
01_Good,02_Out_of_Focus,elongated_angle_std,1,0.55,0.10000000000000009,HIGH,10,10
01_Good,02_Out_of_Focus,elongated_angle_std,2,0.505,0.010000000000000009,HIGH,10,10
01_Good,02_Out_of_Focus,elongated_angle_std,3,0.54,0.08000000000000007,HIGH,10,10
01_Good,02_Out_of_Focus,elongated_angle_std,4,0.65,0.30000000000000004,HIGH,10,10
01_Good,02_Out_of_Focus,elongated_angle_std,5,0.52,0.040000000000000036,HIGH,10,10
01_Good,02_Out_of_Focus,elongated_radial_alignment,1,0.53,0.06000000000000005,HIGH,10,10
01_Good,02_Out_of_Focus,elongated_radial_alignment,2,0.445,0.10999999999999999,LOW,10,10
01_Good,02_Out_of_Focus,elongated_radial_alignment,3,0.49,0.020000000000000018,LOW,10,10
01_Good,02_Out_of_Focus,elongated_radial_alignment,4,0.53,0.06000000000000005,HIGH,10,10
01_Good,02_Out_of_Focus,elongated_radial_alignment,5,0.36,0.28,LOW,10,10
01_Good,02_Out_of_Focus,elongated_star_count,1,0.44,0.12,LOW,10,10
01_Good,02_Out_of_Focus,elongated_star_count,2,0.425,0.15000000000000002,LOW,10,10
01_Good,02_Out_of_Focus,elongated_star_count,3,0.54,0.08000000000000007,HIGH,10,10
01_Good,02_Out_of_Focus,elongated_star_count,4,0.425,0.15000000000000002,LOW,10,10
01_Good,02_Out_of_Focus,elongated_star_count,5,0.475,0.050000000000000044,LOW,10,10
01_Good,02_Out_of_Focus,elongated_star_ratio,1,0.21,0.5800000000000001,LOW,10,10
01_Good,02_Out_of_Focus,elongated_star_ratio,2,0.295,0.41000000000000003,LOW,10,10
01_Good,02_Out_of_Focus,elongated_star_ratio,3,0.455,0.08999999999999997,LOW,10,10
01_Good,02_Out_of_Focus,elongated_star_ratio,4,0.34,0.31999999999999995,LOW,10,10
01_Good,02_Out_of_Focus,elongated_star_ratio,5,0.35,0.30000000000000004,LOW,10,10
01_Good,02_Out_of_Focus,line_angle_std,1,0.36,0.28,LOW,10,10
