image_path,true_class,cnn_class,cnn_confidence,rule_score,approve_threshold,decision,cnn_correct,error
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260504UA1N_1_1.png,01_Good,01_Good,0.7819168554303503,0.42801656758651635,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260504XO6E_1_2.png,01_Good,01_Good,0.8944057525669525,0.5799361118923553,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260505C86N_1_1.png,01_Good,01_Good,0.5120961924852014,0.4339547441097837,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260505GOYV_1_2.png,01_Good,01_Good,0.5415891747882126,0.34307815796435204,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260505HYM1_1_1.png,01_Good,02_Out_of_Focus,0.5765854507775623,0.19570649973396115,0.45,REJECT,False,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260505J2WH_1_2.png,01_Good,01_Good,0.9285960604303033,0.5757198031891351,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260505KSCR_1_2.png,01_Good,01_Good,0.9326381091123601,0.53325994816345,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260505NMQQ_1_1.png,01_Good,01_Good,0.8507781337298665,0.5744962231959598,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260505NMQQ_1_2.png,01_Good,01_Good,0.9370763896200471,0.684022631129899,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260505VPIS_1_2.png,01_Good,01_Good,0.6833045411300472,0.4955458941728347,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260505YLLO_1_2.png,01_Good,05_No_Star,0.7424866715565899,0.7346938775510203,0.45,APPROVE,False,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260505Z6QP_1_1.png,01_Good,02_Out_of_Focus,0.6441776511122134,0.1764676102648222,0.45,REJECT,False,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260506EJKW_1_1.png,01_Good,01_Good,0.5092718711298917,0.5739390657075759,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260506JODA_1_1.png,01_Good,05_No_Star,0.6094680369066008,0.5051020408163265,0.45,APPROVE,False,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260506M34T_1_2.png,01_Good,01_Good,0.825405091837546,0.5161744230296818,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260506RU2Q_1_2.png,01_Good,01_Good,0.9311989458271265,0.5791016904784974,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260506VDXY_1_2.png,01_Good,01_Good,0.8893732749767199,0.7323876032807168,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260506Z0E8_1_1.png,01_Good,02_Out_of_Focus,0.3570184507336442,0.0826696110339972,0.45,REJECT,False,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260506ZT35_1_2.png,01_Good,01_Good,0.7424561764792806,0.7198330296664739,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260507FI1X_1_3.png,01_Good,01_Good,0.8387421946318314,0.641677873057245,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260507P0S8_1.png,01_Good,02_Out_of_Focus,0.7698293510495677,0.16865103796166314,0.45,REJECT,False,
