threshold,total,cnn_correct,cnn_wrong,cnn_accuracy,approved,rejected,approve_rate,reject_rate,correct_approve,false_reject,false_approve,correct_reject,approve_precision,approve_recall_on_cnn_correct,false_reject_rate,false_approve_rate,gate_accuracy,balanced_gate_accuracy
0.2,300,284,16,0.9466666666666667,279,21,0.93,0.07,268,16,11,5,0.9605734767025089,0.9436619718309859,0.056338028169014086,0.6875,0.91,0.628080985915493
0.25,300,284,16,0.9466666666666667,272,28,0.9066666666666666,0.09333333333333334,261,23,11,5,0.9595588235294118,0.9190140845070423,0.08098591549295775,0.6875,0.8866666666666667,0.6157570422535211
0.3,300,284,16,0.9466666666666667,262,38,0.8733333333333333,0.12666666666666668,251,33,11,5,0.9580152671755725,0.8838028169014085,0.11619718309859155,0.6875,0.8533333333333334,0.5981514084507042
0.35,300,284,16,0.9466666666666667,251,49,0.8366666666666667,0.16333333333333333,242,42,9,7,0.9641434262948207,0.852112676056338,0.14788732394366197,0.5625,0.83,0.644806338028169
0.4,300,284,16,0.9466666666666667,239,61,0.7966666666666666,0.20333333333333334,232,52,7,9,0.9707112970711297,0.8169014084507042,0.18309859154929578,0.4375,0.8033333333333333,0.6897007042253521
0.45,300,284,16,0.9466666666666667,226,74,0.7533333333333333,0.24666666666666667,220,64,6,10,0.9734513274336283,0.7746478873239436,0.22535211267605634,0.375,0.7666666666666667,0.6998239436619718
0.5,300,284,16,0.9466666666666667,211,89,0.7033333333333334,0.2966666666666667,206,78,5,11,0.976303317535545,0.7253521126760564,0.2746478873239437,0.3125,0.7233333333333334,0.7064260563380282
0.55,300,284,16,0.9466666666666667,188,112,0.6266666666666667,0.37333333333333335,185,99,3,13,0.9840425531914894,0.6514084507042254,0.3485915492957746,0.1875,0.66,0.7319542253521127
0.6,300,284,16,0.9466666666666667,171,129,0.57,0.43,168,116,3,13,0.9824561403508771,0.5915492957746479,0.4084507042253521,0.1875,0.6033333333333334,0.702024647887324
0.65,300,284,16,0.9466666666666667,163,137,0.5433333333333333,0.45666666666666667,160,124,3,13,0.9815950920245399,0.5633802816901409,0.43661971830985913,0.1875,0.5766666666666667,0.6879401408450705
0.7,300,284,16,0.9466666666666667,156,144,0.52,0.48,153,131,3,13,0.9807692307692307,0.5387323943661971,0.4612676056338028,0.1875,0.5533333333333333,0.6756161971830985
0.75,300,284,16,0.9466666666666667,95,205,0.31666666666666665,0.6833333333333333,94,190,1,15,0.9894736842105263,0.33098591549295775,0.6690140845070423,0.0625,0.36333333333333334,0.6342429577464789
0.8,300,284,16,0.9466666666666667,84,216,0.28,0.72,83,201,1,15,0.9880952380952381,0.29225352112676056,0.7077464788732394,0.0625,0.32666666666666666,0.6148767605633803
