candidate_type,class,against,feature,candidate,mean_auc,std_auc,min_auc,max_auc,mean_strength,std_strength,min_strength,max_strength,direction,direction_consistency,candidate_score
PAIRWISE,02_Out_of_Focus,05_No_Star,std_intensity,PAIRWISE_CORE,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,LOW,1.0,1.0
PAIRWISE,04_Over_Saturated,05_No_Star,background_mad,PAIRWISE_CORE,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,LOW,1.0,1.0
PAIRWISE,04_Over_Saturated,05_No_Star,bright_area_ratio,PAIRWISE_CORE,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,HIGH,1.0,1.0
PAIRWISE,04_Over_Saturated,05_No_Star,elongated_radial_alignment,PAIRWISE_CORE,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,HIGH,1.0,1.0
PAIRWISE,04_Over_Saturated,05_No_Star,elongated_star_count,PAIRWISE_CORE,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,HIGH,1.0,1.0
PAIRWISE,04_Over_Saturated,05_No_Star,elongated_star_ratio,PAIRWISE_CORE,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,HIGH,1.0,1.0
PAIRWISE,04_Over_Saturated,05_No_Star,max_aspect_ratio,PAIRWISE_CORE,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,HIGH,1.0,1.0
PAIRWISE,04_Over_Saturated,05_No_Star,star_count,PAIRWISE_CORE,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,HIGH,1.0,1.0
PAIRWISE,04_Over_Saturated,05_No_Star,std_intensity,PAIRWISE_CORE,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,LOW,1.0,1.0
PAIRWISE,04_Over_Saturated,05_No_Star,valid_profile_count,PAIRWISE_CORE,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,HIGH,1.0,1.0
PAIRWISE,05_No_Star,06_Satellite,bright_area_ratio,PAIRWISE_CORE,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,LOW,1.0,1.0
PAIRWISE,05_No_Star,06_Satellite,mean_star_area,PAIRWISE_CORE,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,LOW,1.0,1.0
PAIRWISE,05_No_Star,06_Satellite,star_count,PAIRWISE_CORE,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,LOW,1.0,1.0
PAIRWISE,05_No_Star,06_Satellite,valid_profile_count,PAIRWISE_CORE,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,LOW,1.0,1.0
PAIRWISE,01_Good,05_No_Star,mean_star_area,PAIRWISE_CORE,0.999,0.0020000000000000018,0.995,1.0,0.998,0.0040000000000000036,0.99,1.0,HIGH,1.0,0.9957
PAIRWISE,01_Good,05_No_Star,bright_area_ratio,PAIRWISE_CORE,0.998,0.0040000000000000036,0.99,1.0,0.9960000000000001,0.008000000000000007,0.98,1.0,HIGH,1.0,0.9914000000000001
PAIRWISE,01_Good,05_No_Star,mean_fwhm,PAIRWISE_CORE,0.998,0.0040000000000000036,0.99,1.0,0.9960000000000001,0.008000000000000007,0.98,1.0,HIGH,1.0,0.9914000000000001
PAIRWISE,02_Out_of_Focus,05_No_Star,mean_intensity,PAIRWISE_CORE,0.002,0.004,0.0,0.01,0.9960000000000001,0.008000000000000007,0.98,1.0,LOW,1.0,0.9914000000000001
PAIRWISE,04_Over_Saturated,05_No_Star,background_median,PAIRWISE_CORE,0.002,0.004,0.0,0.01,0.9960000000000001,0.008000000000000007,0.98,1.0,LOW,1.0,0.9914000000000001
PAIRWISE,04_Over_Saturated,05_No_Star,mean_intensity,PAIRWISE_CORE,0.002,0.004,0.0,0.01,0.9960000000000001,0.008000000000000007,0.98,1.0,LOW,1.0,0.9914000000000001
PAIRWISE,01_Good,05_No_Star,max_aspect_ratio,PAIRWISE_CORE,0.9970000000000001,0.0040000000000000036,0.99,1.0,0.9940000000000001,0.008000000000000007,0.98,1.0,HIGH,1.0,0.9905000000000002
PAIRWISE,05_No_Star,06_Satellite,max_aspect_ratio,PAIRWISE_CORE,0.003,0.006,0.0,0.015,0.994,0.01200000000000001,0.97,1.0,LOW,1.0,0.9871
PAIRWISE,04_Over_Saturated,05_No_Star,mean_hollowness,PAIRWISE_CORE,0.9949999999999999,0.006324555320336764,0.985,1.0,0.9899999999999999,0.01264911064067353,0.97,1.0,HIGH,1.0,0.9852350889359326
PAIRWISE,02_Out_of_Focus,05_No_Star,background_median,PAIRWISE_CORE,0.004,0.008,0.0,0.02,0.992,0.016000000000000014,0.96,1.0,LOW,1.0,0.9828
PAIRWISE,04_Over_Saturated,05_No_Star,mean_star_area,PAIRWISE_CORE,0.9960000000000001,0.008000000000000007,0.98,1.0,0.992,0.016000000000000014,0.96,1.0,HIGH,1.0,0.9828
PAIRWISE,05_No_Star,06_Satellite,mean_fwhm,PAIRWISE_CORE,0.004,0.008,0.0,0.02,0.992,0.016000000000000014,0.96,1.0,LOW,1.0,0.9828
PAIRWISE,01_Good,05_No_Star,median_fwhm,PAIRWISE_CORE,0.9940000000000001,0.008000000000000007,0.98,1.0,0.9879999999999999,0.016000000000000014,0.96,1.0,HIGH,1.0,0.981
PAIRWISE,04_Over_Saturated,05_No_Star,saturated_ratio,PAIRWISE_CORE,0.006,0.008,0.0,0.02,0.9879999999999999,0.016000000000000014,0.96,1.0,LOW,1.0,0.981
PAIRWISE,01_Good,05_No_Star,star_count,PAIRWISE_CORE,0.992,0.007483314773547889,0.98,1.0,0.984,0.014966629547095779,0.96,1.0,HIGH,1.0,0.9793033370452905
PAIRWISE,01_Good,05_No_Star,valid_profile_count,PAIRWISE_CORE,0.992,0.007483314773547889,0.98,1.0,0.984,0.014966629547095779,0.96,1.0,HIGH,1.0,0.9793033370452905
PAIRWISE,04_Over_Saturated,05_No_Star,sharpness,PAIRWISE_CORE,0.008,0.009797958971132711,0.0,0.02,0.984,0.01959591794226544,0.96,1.0,LOW,1.0,0.9788404082057734
PAIRWISE,01_Good,05_No_Star,mean_hfr,PAIRWISE_CORE,0.992,0.011661903789690611,0.97,1.0,0.984,0.023323807579381222,0.94,1.0,HIGH,1.0,0.9724676192420619
PAIRWISE,05_No_Star,06_Satellite,mean_hfr,PAIRWISE_CORE,0.01,0.01549193338482967,0.0,0.04,0.9800000000000001,0.03098386676965932,0.92,1.0,LOW,1.0,0.9639016133230341
PAIRWISE,05_No_Star,06_Satellite,std_intensity,PAIRWISE_CORE,0.986,0.01356465996625055,0.96,1.0,0.9719999999999999,0.0271293199325011,0.9199999999999999,1.0,HIGH,1.0,0.9606870680067499
PAIRWISE,01_Good,05_No_Star,median_hfr,PAIRWISE_CORE,0.982,0.014696938456699083,0.96,1.0,0.9640000000000001,0.029393876913398165,0.9199999999999999,1.0,HIGH,1.0,0.9568606123086603
CLASS_SPECIFIC,05_No_Star,ALL_OTHER_CLASSES,bright_area_ratio,CORE,0.0204,0.011056219968868202,0.008,0.04,0.9591999999999998,0.022112439937736386,0.92,0.984,LOW,1.0,0.9554287560062263
CLASS_SPECIFIC,05_No_Star,ALL_OTHER_CLASSES,star_count,CORE,0.022600000000000002,0.00873155198117723,0.014,0.039,0.9548,0.017463103962354433,0.922,0.972,LOW,1.0,0.9545136896037646
CLASS_SPECIFIC,05_No_Star,ALL_OTHER_CLASSES,valid_profile_count,CORE,0.022600000000000002,0.00873155198117723,0.014,0.039,0.9548,0.017463103962354433,0.922,0.972,LOW,1.0,0.9545136896037646
CLASS_SPECIFIC,05_No_Star,ALL_OTHER_CLASSES,mean_star_area,CORE,0.024,0.010059821071967434,0.012,0.04,0.952,0.02011964214393485,0.92,0.976,LOW,1.0,0.9523880357856066
CLASS_SPECIFIC,05_No_Star,ALL_OTHER_CLASSES,max_aspect_ratio,CORE,0.022,0.011454256850621082,0.012,0.044,0.9559999999999998,0.022908513701242146,0.912,0.976,LOW,1.0,0.9515091486298758
PAIRWISE,02_Out_of_Focus,06_Satellite,max_streak_length_ratio,PAIRWISE_CORE,0.018,0.019390719429665314,0.0,0.05,0.9640000000000001,0.03878143885933063,0.9,1.0,LOW,1.0,0.949921856114067
PAIRWISE,05_No_Star,06_Satellite,median_fwhm,PAIRWISE_CORE,0.018,0.019390719429665314,0.0,0.05,0.9640000000000001,0.03878143885933063,0.9,1.0,LOW,1.0,0.949921856114067
PAIRWISE,04_Over_Saturated,05_No_Star,elongated_angle_consistency,PAIRWISE_CORE,0.9800000000000001,0.024494897427831803,0.95,1.0,0.96,0.048989794855663606,0.8999999999999999,1.0,HIGH,1.0,0.9471010205144337
PAIRWISE,04_Over_Saturated,05_No_Star,elongated_angle_std,PAIRWISE_CORE,0.02,0.024494897427831782,0.0,0.05,0.96,0.04898979485566355,0.9,1.0,LOW,1.0,0.9471010205144337
PAIRWISE,05_No_Star,06_Satellite,median_hfr,PAIRWISE_CORE,0.024,0.017435595774162694,0.0,0.05,0.952,0.03487119154832538,0.9,1.0,LOW,1.0,0.9449128808451674
PAIRWISE,01_Good,05_No_Star,mean_hollowness,PAIRWISE_CORE,0.968,0.006782329983125275,0.955,0.975,0.9359999999999999,0.01356465996625055,0.9099999999999999,0.95,HIGH,1.0,0.942843534003375
PAIRWISE,04_Over_Saturated,05_No_Star,median_eccentricity,PAIRWISE_CORE,0.976,0.018547236990991423,0.94,0.99,0.952,0.037094473981982845,0.8799999999999999,0.98,HIGH,1.0,0.9386905526018017
PAIRWISE,04_Over_Saturated,05_No_Star,median_fwhm_ratio,PAIRWISE_CORE,0.976,0.018547236990991423,0.94,0.99,0.952,0.037094473981982845,0.8799999999999999,0.98,HIGH,1.0,0.9386905526018017
PAIRWISE,02_Out_of_Focus,05_No_Star,background_mad,PAIRWISE_CORE,0.028999999999999998,0.024166091947189144,0.0,0.055,0.942,0.04833218389437828,0.89,1.0,LOW,1.0,0.9360667816105622
CLASS_SPECIFIC,05_No_Star,ALL_OTHER_CLASSES,mean_hollowness,CORE,0.0388,0.009867117106835207,0.028,0.056,0.9224,0.019734234213670383,0.888,0.944,LOW,1.0,0.929506576578633
CLASS_SPECIFIC,05_No_Star,ALL_OTHER_CLASSES,mean_fwhm,CORE,0.04379999999999999,0.010925200226998128,0.028,0.056,0.9124000000000001,0.02185040045399623,0.888,0.944,LOW,1.0,0.9247949599546004
PAIRWISE,04_Over_Saturated,05_No_Star,mean_aspect_ratio,PAIRWISE_CORE,0.976,0.03199999999999999,0.92,1.0,0.952,0.06399999999999997,0.8400000000000001,1.0,HIGH,1.0,0.924
CLASS_SPECIFIC,05_No_Star,ALL_OTHER_CLASSES,std_intensity,CORE,0.9599999999999997,0.014966629547095779,0.938,0.974,0.9199999999999999,0.029933259094191558,0.8759999999999999,0.948,HIGH,1.0,0.9238066740905808
PAIRWISE,05_No_Star,06_Satellite,mean_hollowness,PAIRWISE_CORE,0.034999999999999996,0.020493901531919195,0.02,0.075,0.93,0.04098780306383839,0.85,0.96,LOW,1.0,0.9194012196936162
PAIRWISE,05_No_Star,06_Satellite,max_streak_length_ratio,PAIRWISE_CORE,0.04,0.015491933384829671,0.03,0.07,0.9199999999999999,0.030983866769659325,0.86,0.94,LOW,1.0,0.918901613323034
PAIRWISE,02_Out_of_Focus,05_No_Star,saturated_ratio,PAIRWISE_CORE,0.048,0.0116619037896906,0.03,0.06,0.9039999999999999,0.023323807579381187,0.88,0.94,LOW,1.0,0.918467619242062
PAIRWISE,05_No_Star,06_Satellite,mean_aspect_ratio,PAIRWISE_CORE,0.024,0.034985711369071804,0.0,0.09,0.952,0.06997142273814358,0.8200000000000001,1.0,LOW,1.0,0.9174028577261857
PAIRWISE,03_Tracking_Error,04_Over_Saturated,background_mad,PAIRWISE_CORE,0.952,0.014352700094407311,0.935,0.975,0.9039999999999999,0.028705400188814623,0.8700000000000001,0.95,HIGH,1.0,0.9149294599811185
PAIRWISE,03_Tracking_Error,04_Over_Saturated,mean_intensity,PAIRWISE_CORE,0.954,0.020591260281973993,0.93,0.99,0.908,0.041182520563947986,0.8600000000000001,0.98,HIGH,1.0,0.9124817479436054
PAIRWISE,01_Good,05_No_Star,mean_aspect_ratio,PAIRWISE_CORE,0.976,0.03878143885933062,0.9,1.0,0.952,0.07756287771866124,0.8,1.0,HIGH,1.0,0.9106437122281339
PAIRWISE,03_Tracking_Error,04_Over_Saturated,sharpness,PAIRWISE_CORE,0.952,0.022271057451320065,0.93,0.99,0.9039999999999999,0.04454211490264013,0.8600000000000001,0.98,HIGH,1.0,0.9103457885097361
CLASS_SPECIFIC,05_No_Star,ALL_OTHER_CLASSES,mean_intensity,CORE,0.9520000000000002,0.020039960079800526,0.928,0.98,0.9039999999999999,0.04007992015960105,0.8560000000000001,0.96,HIGH,1.0,0.9095920079840398
PAIRWISE,02_Out_of_Focus,05_No_Star,bright_area_ratio,PAIRWISE_CORE,0.952,0.029765752132274417,0.92,1.0,0.9039999999999999,0.05953150426454883,0.8400000000000001,1.0,HIGH,1.0,0.9028468495735452
PAIRWISE,02_Out_of_Focus,05_No_Star,star_count,PAIRWISE_CORE,0.946,0.02745906043549195,0.925,1.0,0.892,0.0549181208709839,0.8500000000000001,1.0,HIGH,1.0,0.9009081879129017
PAIRWISE,02_Out_of_Focus,05_No_Star,valid_profile_count,PAIRWISE_CORE,0.946,0.02745906043549195,0.925,1.0,0.892,0.0549181208709839,0.8500000000000001,1.0,HIGH,1.0,0.9009081879129017
PAIRWISE,03_Tracking_Error,04_Over_Saturated,background_median,PAIRWISE_CORE,0.951,0.024576411454889004,0.915,0.99,0.9019999999999999,0.04915282290977801,0.8300000000000001,0.98,HIGH,1.0,0.8999847177090223
PAIRWISE,02_Out_of_Focus,05_No_Star,max_aspect_ratio,PAIRWISE_CORE,0.945,0.028460498941515398,0.925,1.0,0.89,0.056920997883030795,0.8500000000000001,1.0,HIGH,1.0,0.8998079002116969
CLASS_SPECIFIC,05_No_Star,ALL_OTHER_CLASSES,mean_hfr,CORE,0.061,0.012743625857659195,0.044,0.077,0.8779999999999999,0.02548725171531841,0.846,0.912,LOW,1.0,0.8963512748284681
PAIRWISE,05_No_Star,06_Satellite,elongated_radial_alignment,PAIRWISE_CORE,0.04,0.048989794855663564,0.0,0.1,0.9199999999999999,0.0979795897113271,0.8,1.0,LOW,1.0,0.8942020410288672
PAIRWISE,05_No_Star,06_Satellite,elongated_star_count,PAIRWISE_CORE,0.04,0.048989794855663564,0.0,0.1,0.9199999999999999,0.0979795897113271,0.8,1.0,LOW,1.0,0.8942020410288672
PAIRWISE,05_No_Star,06_Satellite,elongated_star_ratio,PAIRWISE_CORE,0.04,0.048989794855663564,0.0,0.1,0.9199999999999999,0.0979795897113271,0.8,1.0,LOW,1.0,0.8942020410288672
PAIRWISE,02_Out_of_Focus,05_No_Star,sharpness,PAIRWISE_CORE,0.044,0.03440930106817051,0.0,0.1,0.9119999999999999,0.06881860213634099,0.8,1.0,LOW,1.0,0.8935181397863659
PAIRWISE,02_Out_of_Focus,05_No_Star,mean_hollowness,PAIRWISE_CORE,0.9400000000000001,0.026076809620810576,0.92,0.99,0.8800000000000001,0.05215361924162115,0.8400000000000001,0.98,HIGH,1.0,0.8927846380758381
PAIRWISE,01_Good,06_Satellite,max_streak_length_ratio,PAIRWISE_CORE,0.05600000000000001,0.02727636339397171,0.02,0.09,0.8879999999999999,0.054552726787943394,0.8200000000000001,0.96,LOW,1.0,0.8901447273212056
PAIRWISE,01_Good,04_Over_Saturated,background_median,PAIRWISE_CORE,0.952,0.037094473981982796,0.9,1.0,0.9039999999999999,0.07418894796396559,0.8,1.0,HIGH,1.0,0.8893811052036035
PAIRWISE,01_Good,04_Over_Saturated,mean_intensity,PAIRWISE_CORE,0.952,0.037094473981982796,0.9,1.0,0.9039999999999999,0.07418894796396559,0.8,1.0,HIGH,1.0,0.8893811052036035
CLASS_SPECIFIC,05_No_Star,ALL_OTHER_CLASSES,elongated_radial_alignment,CORE,0.06,0.022803508501982758,0.03,0.09,0.8800000000000001,0.0456070170039655,0.8200000000000001,0.94,LOW,1.0,0.8874392982996036
CLASS_SPECIFIC,05_No_Star,ALL_OTHER_CLASSES,elongated_star_count,CORE,0.06,0.022803508501982758,0.03,0.09,0.8800000000000001,0.0456070170039655,0.8200000000000001,0.94,LOW,1.0,0.8874392982996036
CLASS_SPECIFIC,05_No_Star,ALL_OTHER_CLASSES,elongated_star_ratio,CORE,0.06,0.022803508501982758,0.03,0.09,0.8800000000000001,0.0456070170039655,0.8200000000000001,0.94,LOW,1.0,0.8874392982996036
