class,feature,fold,auc,strength,direction,n_positive,n_negative
01_Good,axis_aligned_line_ratio,1,0.415,0.17000000000000004,LOW,10,50
01_Good,axis_aligned_line_ratio,2,0.462,0.07599999999999996,LOW,10,50
01_Good,axis_aligned_line_ratio,3,0.343,0.31399999999999995,LOW,10,50
01_Good,axis_aligned_line_ratio,4,0.464,0.07199999999999995,LOW,10,50
01_Good,axis_aligned_line_ratio,5,0.51,0.020000000000000018,HIGH,10,50
01_Good,background_mad,1,0.71,0.41999999999999993,HIGH,10,50
01_Good,background_mad,2,0.593,0.18599999999999994,HIGH,10,50
01_Good,background_mad,3,0.628,0.256,HIGH,10,50
01_Good,background_mad,4,0.466,0.06799999999999995,LOW,10,50
01_Good,background_mad,5,0.522,0.04400000000000004,HIGH,10,50
01_Good,background_median,1,0.642,0.28400000000000003,HIGH,10,50
01_Good,background_median,2,0.552,0.10400000000000009,HIGH,10,50
01_Good,background_median,3,0.667,0.3340000000000001,HIGH,10,50
01_Good,background_median,4,0.502,0.0040000000000000036,HIGH,10,50
01_Good,background_median,5,0.527,0.05400000000000005,HIGH,10,50
01_Good,bright_area_ratio,1,0.492,0.016000000000000014,LOW,10,50
01_Good,bright_area_ratio,2,0.51,0.020000000000000018,HIGH,10,50
01_Good,bright_area_ratio,3,0.504,0.008000000000000007,HIGH,10,50
01_Good,bright_area_ratio,4,0.566,0.1319999999999999,HIGH,10,50
01_Good,bright_area_ratio,5,0.54,0.08000000000000007,HIGH,10,50
01_Good,diagonal_line_ratio,1,0.768,0.536,HIGH,10,50
01_Good,diagonal_line_ratio,2,0.572,0.1439999999999999,HIGH,10,50
01_Good,diagonal_line_ratio,3,0.764,0.528,HIGH,10,50
01_Good,diagonal_line_ratio,4,0.592,0.18399999999999994,HIGH,10,50
01_Good,diagonal_line_ratio,5,0.602,0.20399999999999996,HIGH,10,50
01_Good,elongated_angle_consistency,1,0.451,0.09799999999999998,LOW,10,50
01_Good,elongated_angle_consistency,2,0.498,0.0040000000000000036,LOW,10,50
01_Good,elongated_angle_consistency,3,0.488,0.02400000000000002,LOW,10,50
01_Good,elongated_angle_consistency,4,0.459,0.08199999999999996,LOW,10,50
01_Good,elongated_angle_consistency,5,0.48,0.040000000000000036,LOW,10,50
01_Good,elongated_angle_std,1,0.549,0.09800000000000009,HIGH,10,50
01_Good,elongated_angle_std,2,0.502,0.0040000000000000036,HIGH,10,50
01_Good,elongated_angle_std,3,0.512,0.02400000000000002,HIGH,10,50
01_Good,elongated_angle_std,4,0.541,0.08200000000000007,HIGH,10,50
01_Good,elongated_angle_std,5,0.52,0.040000000000000036,HIGH,10,50
01_Good,elongated_star_count,1,0.481,0.038000000000000034,LOW,10,50
01_Good,elongated_star_count,2,0.537,0.07400000000000007,HIGH,10,50
01_Good,elongated_star_count,3,0.554,0.1080000000000001,HIGH,10,50
01_Good,elongated_star_count,4,0.542,0.08400000000000007,HIGH,10,50
01_Good,elongated_star_count,5,0.527,0.05400000000000005,HIGH,10,50
01_Good,elongated_star_ratio,1,0.43,0.14,LOW,10,50
01_Good,elongated_star_ratio,2,0.545,0.09000000000000008,HIGH,10,50
01_Good,elongated_star_ratio,3,0.627,0.254,HIGH,10,50
01_Good,elongated_star_ratio,4,0.516,0.03200000000000003,HIGH,10,50
01_Good,elongated_star_ratio,5,0.531,0.062000000000000055,HIGH,10,50
01_Good,line_angle_std,1,0.378,0.244,LOW,10,50
01_Good,line_angle_std,2,0.484,0.03200000000000003,LOW,10,50
01_Good,line_angle_std,3,0.378,0.244,LOW,10,50
01_Good,line_angle_std,4,0.588,0.17599999999999993,HIGH,10,50
01_Good,line_angle_std,5,0.594,0.18799999999999994,HIGH,10,50
01_Good,long_line_count,1,0.663,0.32600000000000007,HIGH,10,50
01_Good,long_line_count,2,0.605,0.20999999999999996,HIGH,10,50
01_Good,long_line_count,3,0.612,0.22399999999999998,HIGH,10,50
01_Good,long_line_count,4,0.755,0.51,HIGH,10,50
01_Good,long_line_count,5,0.719,0.43799999999999994,HIGH,10,50
01_Good,longest_line_ratio,1,0.634,0.268,HIGH,10,50
01_Good,longest_line_ratio,2,0.569,0.1379999999999999,HIGH,10,50
01_Good,longest_line_ratio,3,0.56,0.1200000000000001,HIGH,10,50
01_Good,longest_line_ratio,4,0.556,0.1120000000000001,HIGH,10,50
01_Good,longest_line_ratio,5,0.63,0.26,HIGH,10,50
01_Good,max_aspect_ratio,1,0.465,0.06999999999999995,LOW,10,50
01_Good,max_aspect_ratio,2,0.543,0.08600000000000008,HIGH,10,50
01_Good,max_aspect_ratio,3,0.58,0.15999999999999992,HIGH,10,50
01_Good,max_aspect_ratio,4,0.505,0.010000000000000009,HIGH,10,50
01_Good,max_aspect_ratio,5,0.57,0.1399999999999999,HIGH,10,50
01_Good,max_streak_area_ratio,1,0.562,0.12400000000000011,HIGH,10,50
01_Good,max_streak_area_ratio,2,0.606,0.21199999999999997,HIGH,10,50
01_Good,max_streak_area_ratio,3,0.488,0.02400000000000002,LOW,10,50
01_Good,max_streak_area_ratio,4,0.56,0.1200000000000001,HIGH,10,50
01_Good,max_streak_area_ratio,5,0.474,0.052000000000000046,LOW,10,50
01_Good,max_streak_aspect_ratio,1,0.223,0.554,LOW,10,50
01_Good,max_streak_aspect_ratio,2,0.201,0.598,LOW,10,50
01_Good,max_streak_aspect_ratio,3,0.347,0.30600000000000005,LOW,10,50
01_Good,max_streak_aspect_ratio,4,0.393,0.21399999999999997,LOW,10,50
01_Good,max_streak_aspect_ratio,5,0.413,0.17400000000000004,LOW,10,50
01_Good,max_streak_length_ratio,1,0.414,0.17200000000000004,LOW,10,50
01_Good,max_streak_length_ratio,2,0.452,0.09599999999999997,LOW,10,50
01_Good,max_streak_length_ratio,3,0.384,0.23199999999999998,LOW,10,50
01_Good,max_streak_length_ratio,4,0.45,0.09999999999999998,LOW,10,50
