class,feature,mean_auc,std_auc,min_auc,max_auc,mean_strength,std_strength,min_strength,max_strength,direction,direction_consistency,candidate,candidate_score
01_Good,axis_aligned_line_ratio,0.43879999999999997,0.05654520315641283,0.343,0.51,0.1304,0.10376434840541329,0.020000000000000018,0.31399999999999995,LOW,0.8,DROP,0.2743035651594587
01_Good,background_mad,0.5838000000000001,0.08445211661053852,0.466,0.71,0.19479999999999997,0.1366431849745899,0.04400000000000004,0.41999999999999993,HIGH,0.8,DROP,0.307195681502541
01_Good,background_median,0.5780000000000001,0.06491532946846994,0.502,0.667,0.15600000000000006,0.12983065893693987,0.0040000000000000036,0.3340000000000001,HIGH,1.0,DROP,0.30841693410630605
01_Good,bright_area_ratio,0.5224,0.026933993391251868,0.492,0.566,0.0512,0.047826352568432366,0.008000000000000007,0.1319999999999999,HIGH,0.8,DROP,0.2406573647431568
01_Good,diagonal_line_ratio,0.6596,0.08741990619990395,0.572,0.768,0.3192,0.1748398123998079,0.1439999999999999,0.536,HIGH,1.0,DROP,0.41935601876001916
01_Good,elongated_angle_consistency,0.47520000000000007,0.017634057956125687,0.451,0.498,0.0496,0.035268115912251374,0.0040000000000000036,0.09799999999999998,LOW,1.0,DROP,0.26999318840877484
01_Good,elongated_angle_std,0.5248,0.017634057956125715,0.502,0.549,0.04960000000000005,0.03526811591225142,0.0040000000000000036,0.09800000000000009,HIGH,1.0,DROP,0.26999318840877484
01_Good,elongated_star_count,0.5282,0.02515074551578941,0.481,0.554,0.07160000000000007,0.024179330015531884,0.038000000000000034,0.1080000000000001,HIGH,0.8,DROP,0.26120206699844684
01_Good,elongated_star_ratio,0.5298,0.06297745628397514,0.43,0.627,0.11560000000000004,0.07780385594557636,0.03200000000000003,0.254,HIGH,0.8,DROP,0.27383961440544236
01_Good,line_angle_std,0.48439999999999994,0.09527560023426773,0.378,0.594,0.17679999999999998,0.07762061581822188,0.03200000000000003,0.244,LOW,0.6,DROP,0.27139793841817783
01_Good,long_line_count,0.6708,0.05875508488633133,0.605,0.755,0.3416,0.11751016977266265,0.20999999999999996,0.51,HIGH,1.0,DROP,0.4549689830227338
01_Good,longest_line_ratio,0.5898,0.034735572544583156,0.556,0.634,0.17960000000000004,0.06947114508916631,0.1120000000000001,0.268,HIGH,1.0,DROP,0.3574728854910834
01_Good,max_aspect_ratio,0.5326,0.04262675216340084,0.465,0.58,0.09319999999999998,0.05322555777068002,0.010000000000000009,0.15999999999999992,HIGH,0.8,DROP,0.259617444222932
01_Good,max_streak_area_ratio,0.538,0.04955804677345548,0.474,0.606,0.10640000000000005,0.06541437150963081,0.02400000000000002,0.21199999999999997,HIGH,0.6,DROP,0.23853856284903696
01_Good,max_streak_aspect_ratio,0.3154,0.08737413805011182,0.201,0.413,0.36920000000000003,0.17474827610022367,0.17400000000000004,0.598,LOW,1.0,DROP,0.45086517238997764
01_Good,max_streak_length_ratio,0.4284,0.02602767757599591,0.384,0.452,0.1432,0.05205535515199182,0.09599999999999997,0.23199999999999998,LOW,1.0,DROP,0.3380344644848008
01_Good,mean_aspect_ratio,0.5272,0.08776878716263545,0.43,0.65,0.1552,0.09841625881936379,0.008000000000000007,0.30000000000000004,HIGH,0.6,DROP,0.25239837411806365
01_Good,mean_circularity,0.6824,0.037296648643008114,0.638,0.74,0.36479999999999996,0.07459329728601623,0.276,0.48,HIGH,1.0,DROP,0.4895006702713984
01_Good,mean_fwhm,0.6596,0.02608907817459249,0.632,0.694,0.3192,0.05217815634918499,0.264,0.3879999999999999,HIGH,1.0,DROP,0.46762218436508146
01_Good,mean_hfr,0.6844,0.029567549780122097,0.658,0.728,0.3688,0.059135099560244195,0.31600000000000006,0.45599999999999996,HIGH,1.0,DROP,0.5048464900439756
01_Good,mean_hollowness,0.5534,0.05080393685532648,0.481,0.624,0.12199999999999997,0.08274297553266982,0.02400000000000002,0.248,HIGH,0.8,DROP,0.273825702446733
01_Good,mean_intensity,0.5808000000000001,0.06753487987699394,0.504,0.668,0.16160000000000005,0.13506975975398788,0.008000000000000007,0.3360000000000001,HIGH,1.0,DROP,0.3116130240246012
01_Good,mean_star_area,0.6358,0.03057057408685682,0.576,0.658,0.2716,0.06114114817371364,0.1519999999999999,0.31600000000000006,HIGH,1.0,DROP,0.41170588518262863
01_Good,median_eccentricity,0.4276,0.06357861275617768,0.348,0.488,0.14480000000000004,0.12715722551235537,0.02400000000000002,0.30400000000000005,LOW,1.0,DROP,0.3096442774487645
01_Good,median_fwhm,0.6856,0.02843659613948193,0.648,0.722,0.3712,0.05687319227896386,0.29600000000000004,0.44399999999999995,HIGH,1.0,DROP,0.5001526807721036
01_Good,median_fwhm_ratio,0.4295999999999999,0.06041721608945583,0.352,0.488,0.14080000000000004,0.12083443217891165,0.02400000000000002,0.29600000000000004,LOW,1.0,DROP,0.3084765567821089
01_Good,median_hfr,0.7051999999999999,0.03610207750254823,0.662,0.764,0.4104,0.07220415500509646,0.32400000000000007,0.528,HIGH,1.0,DROP,0.5246595844994904
01_Good,saturated_ratio,0.5234,0.084818865825947,0.399,0.65,0.13879999999999998,0.10817467356086637,0.01200000000000001,0.30000000000000004,HIGH,0.6,DROP,0.24524253264391332
01_Good,sharpness,0.5796,0.05566183611775667,0.506,0.676,0.1592,0.11132367223551334,0.01200000000000001,0.3520000000000001,HIGH,1.0,DROP,0.31410763277644865
01_Good,star_count,0.5862,0.026843248685656504,0.546,0.626,0.17239999999999997,0.053686497371313,0.09200000000000008,0.252,HIGH,1.0,DROP,0.3498113502628687
01_Good,std_intensity,0.5756,0.06285729870110551,0.49,0.672,0.1592,0.11541646329705309,0.020000000000000018,0.3440000000000001,HIGH,0.8,DROP,0.2860983536702947
01_Good,streak_count,0.394,0.013564659966250527,0.38,0.42,0.21200000000000002,0.027129319932501055,0.16000000000000003,0.24,LOW,1.0,DROP,0.3906870680067499
01_Good,valid_profile_count,0.5862,0.026843248685656504,0.546,0.626,0.17239999999999997,0.053686497371313,0.09200000000000008,0.252,HIGH,1.0,DROP,0.3498113502628687
02_Out_of_Focus,axis_aligned_line_ratio,0.5988,0.04833797678844245,0.519,0.654,0.1976,0.0966759535768849,0.038000000000000034,0.30800000000000005,HIGH,1.0,DROP,0.3406524046423115
02_Out_of_Focus,background_mad,0.31439999999999996,0.046033031618610554,0.23,0.357,0.3712000000000001,0.09206606323722114,0.28600000000000003,0.54,LOW,1.0,DROP,0.493633393676278
02_Out_of_Focus,background_median,0.298,0.023469128658729535,0.254,0.32,0.404,0.04693825731745907,0.36,0.492,LOW,1.0,DROP,0.5351061742682541
02_Out_of_Focus,bright_area_ratio,0.5564,0.06958620552954442,0.46,0.656,0.1448,0.10547871823263687,0.02400000000000002,0.31200000000000006,HIGH,0.8,DROP,0.28181212817673634
02_Out_of_Focus,diagonal_line_ratio,0.307,0.07939773296511683,0.198,0.405,0.386,0.15879546593023366,0.18999999999999995,0.604,LOW,1.0,DROP,0.4648204534069767
02_Out_of_Focus,elongated_angle_consistency,0.5328,0.049162587401397013,0.5,0.63,0.06560000000000002,0.09832517480279403,0.0,0.26,HIGH,1.0,DROP,0.26968748251972063
02_Out_of_Focus,elongated_angle_std,0.46719999999999995,0.049162587401397013,0.37,0.5,0.06560000000000002,0.09832517480279403,0.0,0.26,LOW,1.0,DROP,0.26968748251972063
02_Out_of_Focus,elongated_star_count,0.5738,0.04717372149830877,0.51,0.647,0.14760000000000004,0.09434744299661754,0.020000000000000018,0.29400000000000004,HIGH,1.0,DROP,0.31298525570033825
02_Out_of_Focus,elongated_star_ratio,0.7096,0.04901265142797316,0.63,0.776,0.4192,0.09802530285594632,0.26,0.552,HIGH,1.0,DROP,0.5068374697144054
02_Out_of_Focus,line_angle_std,0.5846,0.0721542791523829,0.5,0.694,0.16919999999999996,0.1443085583047658,0.0,0.3879999999999999,HIGH,1.0,DROP,0.3117091441695234
02_Out_of_Focus,long_line_count,0.5646,0.037701989337434155,0.521,0.621,0.12919999999999998,0.07540397867486831,0.04200000000000004,0.242,HIGH,1.0,DROP,0.3131996021325132
02_Out_of_Focus,longest_line_ratio,0.4426,0.06030787676580897,0.346,0.513,0.12520000000000003,0.10978233009004681,0.026000000000000023,0.30800000000000005,LOW,0.8,DROP,0.27316176699099537
02_Out_of_Focus,max_aspect_ratio,0.5514,0.05061462239313852,0.491,0.627,0.11079999999999997,0.09240432890292531,0.0020000000000000018,0.254,HIGH,0.6,DROP,0.23121956710970745
02_Out_of_Focus,max_streak_area_ratio,0.48040000000000005,0.015041276541570532,0.462,0.508,0.045600000000000016,0.01903260360539249,0.016000000000000014,0.07599999999999996,LOW,0.8,DROP,0.24341673963946076
02_Out_of_Focus,max_streak_aspect_ratio,0.2648,0.09289434859021295,0.159,0.426,0.47040000000000004,0.1857886971804259,0.14800000000000002,0.6819999999999999,LOW,1.0,DROP,0.4875011302819574
02_Out_of_Focus,max_streak_length_ratio,0.3264,0.02394660727535323,0.29,0.358,0.34719999999999995,0.04789321455070646,0.28400000000000003,0.42000000000000004,LOW,1.0,DROP,0.4866506785449294
02_Out_of_Focus,mean_aspect_ratio,0.6638000000000001,0.07035737345865035,0.557,0.752,0.3276,0.1407147469173007,0.1140000000000001,0.504,HIGH,1.0,DROP,0.41754852530826997
02_Out_of_Focus,mean_circularity,0.36019999999999996,0.06600727232661566,0.262,0.466,0.27959999999999996,0.13201454465323129,0.06799999999999995,0.476,LOW,1.0,DROP,0.3830185455346768
02_Out_of_Focus,mean_fwhm,0.593,0.07995998999499686,0.452,0.692,0.2244,0.09907088371464139,0.09599999999999997,0.3839999999999999,HIGH,0.8,DROP,0.3398729116285359
02_Out_of_Focus,mean_hfr,0.5378000000000001,0.06065772827925555,0.436,0.602,0.1268,0.06598909000736405,0.030000000000000027,0.20399999999999996,HIGH,0.8,DROP,0.2794610909992636
02_Out_of_Focus,mean_hollowness,0.7382,0.06868304011908619,0.695,0.875,0.47639999999999993,0.13736608023817237,0.3899999999999999,0.75,HIGH,1.0,DROP,0.5676433919761827
02_Out_of_Focus,mean_intensity,0.29840000000000005,0.03220931542271584,0.238,0.326,0.4032,0.06441863084543169,0.348,0.524,LOW,1.0,DROP,0.5293981369154568
02_Out_of_Focus,mean_star_area,0.6086,0.06273627339904721,0.522,0.706,0.21719999999999998,0.12547254679809441,0.04400000000000004,0.4119999999999999,HIGH,1.0,DROP,0.3483927453201906
02_Out_of_Focus,median_eccentricity,0.6026,0.06037747924516227,0.483,0.644,0.21880000000000002,0.09389014857800577,0.03400000000000003,0.28800000000000003,HIGH,0.8,DROP,0.3192709851421994
02_Out_of_Focus,median_fwhm,0.6317999999999999,0.0846319088760262,0.51,0.754,0.2636,0.16926381775205238,0.020000000000000018,0.508,HIGH,1.0,DROP,0.35769361822479473
02_Out_of_Focus,median_fwhm_ratio,0.6094,0.06473206315266031,0.483,0.662,0.23240000000000002,0.10307589436914918,0.03400000000000003,0.32400000000000007,HIGH,0.8,DROP,0.32447241056308507
02_Out_of_Focus,median_hfr,0.555,0.05362835071116769,0.484,0.628,0.12280000000000002,0.09232637759600448,0.014000000000000012,0.256,HIGH,0.8,DROP,0.27022736224039956
02_Out_of_Focus,saturated_ratio,0.3356,0.03381478966369598,0.291,0.384,0.32880000000000004,0.06762957932739196,0.23199999999999998,0.41800000000000004,LOW,1.0,DROP,0.4607970420672608
02_Out_of_Focus,sharpness,0.3176,0.034278856457005694,0.282,0.374,0.36479999999999996,0.06855771291401139,0.252,0.43600000000000005,LOW,1.0,DROP,0.48290422870859884
02_Out_of_Focus,star_count,0.4720000000000001,0.06538807230680534,0.374,0.556,0.12400000000000003,0.06973091136648078,0.05800000000000005,0.252,LOW,0.6,DROP,0.2562269088633519
02_Out_of_Focus,std_intensity,0.28600000000000003,0.03921224298608791,0.208,0.31,0.42800000000000005,0.07842448597217583,0.38,0.5840000000000001,LOW,1.0,DROP,0.5487575514027825
02_Out_of_Focus,streak_count,0.394,0.013564659966250527,0.38,0.42,0.21200000000000002,0.027129319932501055,0.16000000000000003,0.24,LOW,1.0,DROP,0.3906870680067499
02_Out_of_Focus,valid_profile_count,0.4720000000000001,0.06538807230680534,0.374,0.556,0.12400000000000003,0.06973091136648078,0.05800000000000005,0.252,LOW,0.6,DROP,0.2562269088633519
03_Tracking_Error,axis_aligned_line_ratio,0.4548,0.04968057970676269,0.37,0.526,0.1112,0.0753615286469164,0.052000000000000046,0.26,LOW,0.8,DROP,0.2781038471353084
03_Tracking_Error,background_mad,0.5843999999999999,0.07723885032805704,0.466,0.7,0.19599999999999998,0.11807116498112481,0.06799999999999995,0.3999999999999999,HIGH,0.8,DROP,0.3167928835018875
03_Tracking_Error,background_median,0.5446,0.06092815441156905,0.48,0.647,0.11720000000000001,0.09523528757766209,0.030000000000000027,0.29400000000000004,HIGH,0.6,DROP,0.2422164712422338
03_Tracking_Error,bright_area_ratio,0.502,0.08973739465796855,0.376,0.644,0.14640000000000003,0.10389533194518415,0.020000000000000018,0.28800000000000003,HIGH,0.6,DROP,0.2514904668054816
03_Tracking_Error,diagonal_line_ratio,0.6008000000000001,0.04870893141919662,0.535,0.66,0.20160000000000006,0.09741786283839322,0.07000000000000006,0.32000000000000006,HIGH,1.0,DROP,0.3519782137161607
03_Tracking_Error,elongated_angle_consistency,0.58,0.04421764353739353,0.521,0.651,0.16,0.08843528707478705,0.04200000000000004,0.30200000000000005,HIGH,1.0,DROP,0.32575647129252133
03_Tracking_Error,elongated_angle_std,0.4202,0.04421040601487392,0.349,0.479,0.15960000000000002,0.08842081202974784,0.04200000000000004,0.30200000000000005,LOW,1.0,DROP,0.32557791879702525
03_Tracking_Error,elongated_star_count,0.5843999999999999,0.07655742942392983,0.486,0.692,0.18000000000000002,0.13977696519813265,0.028000000000000025,0.3839999999999999,HIGH,0.8,DROP,0.2954223034801868
03_Tracking_Error,elongated_star_ratio,0.5996,0.02834501719879527,0.56,0.632,0.1992,0.05669003439759054,0.1200000000000001,0.264,HIGH,1.0,DROP,0.36997099656024096
03_Tracking_Error,line_angle_std,0.4908,0.06000799946673776,0.426,0.59,0.1096,0.052251698536985344,0.04800000000000004,0.17999999999999994,LOW,0.6,DROP,0.2484948301463015
03_Tracking_Error,long_line_count,0.5212,0.07644972204004405,0.372,0.576,0.14479999999999996,0.0648764980559216,0.05400000000000005,0.256,HIGH,0.8,DROP,0.29487235019440783
03_Tracking_Error,longest_line_ratio,0.5478,0.03113454672867423,0.514,0.601,0.09560000000000005,0.06226909345734846,0.028000000000000025,0.20199999999999996,HIGH,1.0,DROP,0.2951930906542652
